0 49
36 43 18
43 44 13
35 41 20
36 41 6
18 24 16
26 34 12
38 48 11
9 31 19
31 47 14
20 41 7
3 5 17
17 21 7
2 16 1
34 41 11
30 36 7
44 46 16
23 32 6
15 34 15
5 11 15
34 35 7
33 48 19
4 25 2
45 46 12
43 46 7
43 44 11
31 43 12
29 32 10
15 49 5
31 49 19
41 47 5
26 32 4
12 43 3
24 31 13
5 14 16
45 48 2
15 45 1
33 45 9
48 49 10
0 27 15
30 47 12
28 49 5
19 28 18
22 46 15
24 40 14
18 42 6
47 49 14
5 9 8
22 45 19
25 39 9
21 36 20
38 49 11
39 46 9
13 38 18
39 42 5
7 25 3
33 37 7
18 38 15
1 9 20
24 27 5
41 45 6
39 45 13
23 32 19
6 21 16
28 43 7
31 46 20
12 34 2
40 48 18
47 49 11
13 45 19
41 47 1
25 35 6
31 48 13
0 8 4
9 36 18
17 27 5
41 42 15
27 46 17
45 46 10
37 48 12
41 49 4
24 33 2
26 33 11
21 46 15
41 48 12
27 31 12
19 23 3
24 45 4
8 19 14
12 42 13
6 19 10
6 19 16
2 45 19
1 26 15
38 47 5
0 1 5
1 2 6
2 3 18
3 4 9
4 6 14
6 7 14
7 12 3
12 13 20
13 15 3
15 17 13
17 18 12
18 20 20
20 22 8
22 29 4
29 30 16
